date,rank,song,artist
2012-09-25,1,Good Feeling,Flo Rida
2012-09-30,1,Coups et blessures,BB Brunes
2012-09-30,1,Diamonds,Rihanna
2012-09-30,1,Gangnam Style,Psy
2012-10-02,1,We Found Love,Rihanna featuring Calvin Harris
2012-10-07,1,Skyfall,Adele
2012-10-07,1,Too Close,Alex Clare
2012-10-16,1,Sexy and I Know It,LMFAO
2012-10-28,1,I Cry,Flo Rida
2012-10-28,1,À l'ombre,Mylène Farmer
2012-11-04,1,One More Night,Maroon 5
2012-11-06,1,She Doesn't Mind,Sean Paul
2012-11-11,1,Parler à mon père,Celine Dion
2012-11-11,1,Avec toi,Axel Tony and Tunisiano
2012-11-11,1,Girl on Fire,Alicia Keys
2012-11-13,1,Du temps,Mylène Farmer
2012-11-18,1,Envole-moi,M. Pokora and Tal
2012-11-18,1,Read All About It,Emeli Sandé
2012-11-25,1,Scream & Shout,will.i.am featuring Britney Spears
2012-11-25,1,Locked Out of Heaven,Bruno Mars
2012-12-02,1,Le poussin piou,Pulcino Pio
2012-12-11,1,Je l'aime à mourir,Shakira
2012-12-11,1,Des ricochets,Collectif Paris-Africa
2012-12-16,1,People Help the People,Birdy
2013-01-13,1,Where Are We Now?,David Bowie
2013-01-13,1,Thrift Shop,Macklemore & Ryan Lewis featuring Wanz
2013-01-20,1,WatiBigali,Wati B featuring Big Ali
2013-01-20,1,Suit & Tie,Justin Timberlake featuring Jay-Z
2013-01-27,1,A.C. Milan,Booba
2013-02-03,1,Get Up,Bingo Players featuring Far East Movement
2013-02-03,1,Stay,Rihanna featuring Mikky Ekko
2013-02-10,1,Born to Die,Olympe
2013-02-19,1,Nightcall,Kavinsky featuring Lovefoxxx
2013-02-24,1,On se connaît,Youssoupha and Ayna
2013-02-24,1,Harlem Shake,Baauer
2013-02-24,1,Matilda,Alt-J
2013-03-03,1,Leeway,We Were Evergreen
2013-03-10,1,Ho Hey,The Lumineers
2013-03-10,1,C'est bon,The Supermen Lovers
2013-03-10,1,Je te dis tout,Mylène Farmer
2013-03-17,1,Attention au départ,Les Enfoirés
2013-03-17,1,Can't Hold Us,Macklemore & Ryan Lewis featuring Ray Dalton
2013-03-17,1,J'me tire,Maître Gims
2013-03-24,1,When I Was Your Man,Bruno Mars
2013-03-24,1,Just Give Me a Reason,Pink featuring Nate Ruess
2013-03-31,1,Play Hard,David Guetta featuring Ne-Yo and Akon
2013-04-07,1,Blurred Lines,Robin Thicke featuring T.I. and Pharrell Williams
2013-04-14,1,Under,Alex Hepburn
2013-04-21,1,Love Is What You Make of It,Maude
2013-04-21,1,Get Lucky,Daft Punk featuring Pharrell Williams
2013-05-12,1,Bella,Maître Gims
2013-05-19,1,Quand il pète il troue son slip,Sébastien Patoche
2013-05-19,1,Watch Out for This,"Major Lazer featuring Busy Signal, The Flexican and FS Green"
2013-05-26,1,Home,Edward Sharpe and the Magnetic Zeros
2013-06-02,1,Let Her Go,Passenger
2013-06-02,1,We Own It,2 Chainz and Wiz Khalifa
2013-06-09,1,Formidable,Stromae
2013-06-09,1,Impossible,James Arthur
2013-06-16,1,Papaoutai,Stromae
2013-06-30,1,Treasure,Bruno Mars
2013-07-07,1,Wake Me Up,Avicii
2013-07-28,1,I Need Your Love,Calvin Harris featuring Ellie Goulding
2013-08-04,1,La vie du bon côté,Keen'V
2013-08-18,1,Animals,Martin Garrix
2013-08-18,1,Roar,Katy Perry
2013-08-18,1,Applause,Lady Gaga
2013-09-01,1,Love Me Again,John Newman
2013-09-15,1,Vandaag,Bakermat
2013-09-15,1,Wrecking Ball,Miley Cyrus
