date,rank,song,artist
1995-11-27,1,Bullet with Butterfly Wings,The Smashing Pumpkins
1995-11-27,1,Fantasy,Mariah Carey
1995-12-04,1,Hand in My Pocket,Alanis Morissette
1995-12-04,1,My Friends,Red Hot Chili Peppers
1995-12-11,1,Hand in My Pocket,Alanis Morissette
1995-12-11,1,My Friends,Red Hot Chili Peppers
1995-12-18,1,Hand in My Pocket,Alanis Morissette
1995-12-18,1,Bullet with Butterfly Wings,The Smashing Pumpkins
1995-12-18,1,My Friends,Red Hot Chili Peppers
1995-12-25,1,Hand in My Pocket,Alanis Morissette
1996-01-01,1,Hand in My Pocket,Alanis Morissette
1996-01-08,1,Exhale,Whitney Houston
1996-01-08,1,One of Us,Joan Osborne
1996-01-15,1,Wonderwall,Oasis
1996-01-15,1,Exhale,Whitney Houston
1996-01-22,1,Wonderwall,Oasis
1996-01-22,1,One Sweet Day,Mariah Carey and Boyz II Men
1996-01-29,1,Brain Stew,Green Day
1996-01-29,1,One Sweet Day,Mariah Carey and Boyz II Men
1996-02-05,1,Brain Stew,Green Day
1996-02-05,1,One of Us,Joan Osborne
1996-02-12,1,Time,Hootie & the Blowfish
1996-02-12,1,Brain Stew,Green Day
1996-02-19,1,1979,The Smashing Pumpkins
1996-02-19,1,Missing,Everything but the Girl
1996-02-26,1,Missing,Everything but the Girl
1996-02-26,1,Peaches,The Presidents of the United States of America
1996-03-04,1,Missing,Everything but the Girl
1996-03-04,1,Peaches,The Presidents of the United States of America
1996-03-11,1,The World I Know,Collective Soul
1996-03-11,1,Peaches,The Presidents of the United States of America
1996-03-18,1,Ironic,Alanis Morissette
1996-03-18,1,I Want to Come Over,Melissa Etheridge
1996-03-25,1,Follow You Down,Gin Blossoms
1996-03-25,1,Zero,The Smashing Pumpkins
1996-04-01,1,Ironic,Alanis Morissette
1996-04-01,1,Aeroplane,Red Hot Chili Peppers
1996-04-08,1,Big Bang Baby,Stone Temple Pilots
1996-04-08,1,Ironic,Alanis Morissette
1996-04-15,1,Big Bang Baby,Stone Temple Pilots
1996-04-15,1,Ironic,Alanis Morissette
1996-04-22,1,Ironic,Alanis Morissette
1996-04-22,1,Champagne Supernova,Oasis
1996-04-29,1,Big Bang Baby,Stone Temple Pilots
1996-04-29,1,Ironic,Alanis Morissette
1996-05-06,1,Champagne Supernova,Oasis
1996-05-06,1,Ironic,Alanis Morissette
1996-05-13,1,Machinehead,Bush X
1996-05-13,1,Closer to Free,BoDeans
1996-05-20,1,Always Be My Baby,Mariah Carey
1996-05-20,1,Ahead By a Century,Tragically Hip
1996-05-27,1,Pretty Noose,Soundgarden
1996-05-27,1,Old Man & Me,Hootie & the Blowfish
1996-06-03,1,Old Man & Me,Hootie & the Blowfish
1996-06-03,1,Pretty Noose,Soundgarden
