date,rank,song,artist
1958-04-26,1,Twilight Time,The Platters
1958-05-03,1,Witch Doctor,David Seville
1958-05-10,1,Witch Doctor,David Seville
1958-05-17,1,All I Have To Do Is Dream,The Everly Brothers
1958-05-24,1,All I Have To Do Is Dream,The Everly Brothers
1958-05-31,1,All I Have To Do Is Dream,The Everly Brothers
1958-06-07,1,All I Have To Do Is Dream,The Everly Brothers
1958-06-14,1,The Purple People Eater,Sheb Wooley
1958-06-21,1,The Purple People Eater,Sheb Wooley
1958-06-28,1,The Purple People Eater,Sheb Wooley
1958-07-05,1,The Purple People Eater,Sheb Wooley
1958-07-12,1,The Purple People Eater,Sheb Wooley
1958-07-19,1,The Purple People Eater,Sheb Wooley
1958-07-26,1,Hard Headed Woman,Elvis Presley
1958-08-02,1,Hard Headed Woman,Elvis Presley
1958-08-04,1,Poor Little Fool,Ricky Nelson
1958-08-11,1,Poor Little Fool,Ricky Nelson
1958-08-18,1,"Volare ""♪",Domenico Modugno
1958-08-25,1,Little Star,The Elegants
1958-08-25,1,"Volare ""♪",Domenico Modugno
1958-09-01,1,"Volare ""♪",Domenico Modugno
1958-09-08,1,"Volare ""♪",Domenico Modugno
1958-09-15,1,"Volare ""♪",Domenico Modugno
1958-09-29,1,It's All in the Game,Tommy Edwards
1958-10-06,1,It's All in the Game,Tommy Edwards
1958-10-13,1,It's All in the Game,Tommy Edwards
1958-10-20,1,It's All in the Game,Tommy Edwards
1958-10-27,1,It's All in the Game,Tommy Edwards
1958-11-03,1,It's All in the Game,Tommy Edwards
1958-11-10,1,It's Only Make Believe,Conway Twitty
1958-11-17,1,It's Only Make Believe,Conway Twitty
1958-11-17,1,Tom Dooley,The Kingston Trio
1958-12-01,1,To Know Him Is to Love Him,The Teddy Bears
1958-12-08,1,To Know Him Is to Love Him,The Teddy Bears
1958-12-15,1,To Know Him Is to Love Him,The Teddy Bears
1958-12-22,1,The Chipmunk Song,The Chipmunks with David Seville
1958-12-29,1,The Chipmunk Song,The Chipmunks with David Seville
1959-01-05,1,The Chipmunk Song,The Chipmunks with David Seville
1959-01-12,1,The Chipmunk Song,The Chipmunks with David Seville
1959-01-19,1,Smoke Gets in Your Eyes,The Platters
1959-01-26,1,Smoke Gets in Your Eyes,The Platters
1959-02-02,1,Smoke Gets in Your Eyes,The Platters
1959-02-09,1,Stagger Lee,Lloyd Price
1959-02-16,1,Stagger Lee,Lloyd Price
1959-02-23,1,Stagger Lee,Lloyd Price
1959-03-02,1,Stagger Lee,Lloyd Price
1959-03-09,1,Venus,Frankie Avalon
1959-03-16,1,Venus,Frankie Avalon
1959-03-23,1,Venus,Frankie Avalon
1959-03-30,1,Venus,Frankie Avalon
1959-04-06,1,Venus,Frankie Avalon
1959-04-13,1,Come Softly to Me,The Fleetwoods
