date,rank,song,artist
2010-03-01,1,Katten i trakten,Einár
2010-03-02,1,Ai se eu te pego!,Michel Teló
2010-03-02,1,Psycho,Post Malone featuring Ty Dolla Sign
2010-03-03,1,Shape of You,Ed Sheeran
2010-03-04,1,Grenade,Bruno Mars
2010-03-04,1,If I Were Sorry,Frans
2010-03-05,1,This Is My Life,Anna Bergendahl
2010-03-05,1,FourFiveSeconds,Rihanna featuring Kanye West and Paul McCartney
2010-03-07,1,Busy Doin' Nothin',Ace Wilder
2010-03-08,1,Too Late for Love,John Lundvik
2010-03-08,1,Let Her Go,Passenger
2010-03-09,1,Euphoria,Loreen
2010-03-09,1,Every Single Day,Felix Sandman
2010-03-10,1,Shape of You,Ed Sheeran
2010-03-11,1,If I Were Sorry,Frans
2010-03-11,1,Popular,Eric Saade
2010-03-12,1,This Is My Life,Anna Bergendahl
2010-03-12,1,FourFiveSeconds,Rihanna featuring Kanye West and Paul McCartney
2010-03-14,1,Busy Doin' Nothin',Ace Wilder
2010-03-15,1,You,Robin Stjernberg
2010-03-15,1,Too Late for Love,John Lundvik
2010-03-16,1,Every Single Day,Felix Sandman
2010-03-16,1,Euphoria,Loreen
2010-03-17,1,Shape of You,Ed Sheeran
2010-03-18,1,Popular,Eric Saade
2010-03-18,1,If I Were Sorry,Frans
2010-03-19,1,Heroes,Måns Zelmerlöw
2010-03-19,1,This Is My Life,Anna Bergendahl
2010-03-21,1,Busy Doin' Nothin',Ace Wilder
2010-03-22,1,You,Robin Stjernberg
2010-03-22,1,Too Late for Love,John Lundvik
2010-03-23,1,Euphoria,Loreen
2010-03-23,1,Every Single Day,Felix Sandman
2010-03-24,1,Shape of You,Ed Sheeran
2010-03-25,1,Popular,Eric Saade
2010-03-25,1,If I Were Sorry,Frans
2010-03-26,1,This Is My Life,Anna Bergendahl
2010-03-26,1,Heroes,Måns Zelmerlöw
2010-03-28,1,Busy Doin' Nothin',Ace Wilder
2010-03-29,1,You,Robin Stjernberg
2010-03-29,1,Too Late for Love,John Lundvik
2010-03-30,1,Euphoria,Loreen
2010-03-30,1,Every Single Day,Felix Sandman
2010-03-31,1,Symphony,Clean Bandit featuring Zara Larsson
2010-04-01,1,Popular,Eric Saade
2010-04-01,1,If I Were Sorry,Frans
2010-04-02,1,Stole the Show,Kygo featuring Parson James
2010-04-02,1,Unstoppable,Ola Svensson
2010-04-03,1,Om sanningen ska fram,Eric Amarillo
2010-04-04,1,Rather Be,Clean Bandit featuring Jess Glynne
2010-04-05,1,Vindar på Mars,Hov1
2010-04-05,1,You,Robin Stjernberg
2010-04-06,1,Hon dansar vidare i livet,Hov1
2010-04-06,1,Euphoria,Loreen
2010-04-07,1,Shape of You,Ed Sheeran
2010-04-08,1,On the Floor,Jennifer Lopez
2010-04-08,1,Cheap Thrills,Sia featuring Sean Paul
2010-04-09,1,Stole the Show,Kygo featuring Parson James
2010-04-09,1,Manboy,Eric Saade
2010-04-10,1,Om sanningen ska fram,Eric Amarillo
2010-04-11,1,Waves,Mr Probz
2010-04-12,1,You,Robin Stjernberg
2010-04-12,1,SOS,Avicii featuring Aloe Blacc
