date,rank,song,artist
1966-07-08,1,Paperback Writer,The Beatles
1966-07-15,1,Paperback Writer,The Beatles
1966-07-22,1,Paperback Writer,The Beatles
1966-07-29,1,Pretty Flamingo,Manfred Mann
1966-08-05,1,Pretty Flamingo,Manfred Mann
1966-08-12,1,Pretty Flamingo,Manfred Mann
1966-08-19,1,Daydream,The Lovin' Spoonful
1966-08-26,1,Daydream,The Lovin' Spoonful
1966-09-02,1,Daydream,The Lovin' Spoonful
1966-09-09,1,Wild Thing,The Troggs
1966-09-16,1,Wild Thing,The Troggs
1966-09-23,1,Yellow Submarine,The Beatles
1966-09-30,1,Yellow Submarine,The Beatles
1966-10-07,1,Yellow Submarine,The Beatles
1966-10-14,1,Eleanor Rigby,The Beatles
1966-10-21,1,With a Girl Like You,The Troggs
1966-10-28,1,With a Girl Like You,The Troggs
1966-11-04,1,With a Girl Like You,The Troggs
1966-11-11,1,Sweet Pea,Tommy Roe
1966-11-18,1,Sweet Pea,Tommy Roe
1966-11-25,1,Lady Godiva,Peter & Gordon
1966-12-01,1,Lady Godiva,Peter & Gordon
1966-12-08,1,Lady Godiva,Peter & Gordon
1966-12-15,1,Stop! Stop! Stop!,The Hollies
1966-12-22,1,Stop! Stop! Stop!,The Hollies
1966-12-29,1,Stop! Stop! Stop!,The Hollies
1967-01-06,1,Summer break - no chart,Summer break - no chart
1967-01-13,1,Summer break - no chart,Summer break - no chart
1967-01-20,1,Summer break - no chart,Summer break - no chart
1967-01-27,1,Good Vibrations,The Beach Boys
1967-02-03,1,Hooray for Hazel,Tommy Roe
1967-02-10,1,Bend It!,"Dave Dee, Dozy, Beaky, Mick & Tich"
1967-02-17,1,Bend It!,"Dave Dee, Dozy, Beaky, Mick & Tich"
1967-02-24,1,I'm a Believer,The Monkees
1967-03-03,1,I'm a Believer,The Monkees
1967-03-10,1,I'm a Believer,The Monkees
1967-03-17,1,I'm a Believer,The Monkees
1967-03-24,1,I'm a Believer,The Monkees
1967-03-31,1,Penny Lane,The Beatles
1967-04-07,1,Penny Lane,The Beatles
1967-04-14,1,Hey! Baby,The La De Da's
1967-04-21,1,Hey! Baby,The La De Da's
1967-04-28,1,Georgy Girl,The Seekers
1967-05-05,1,Matthew and Son,Cat Stevens
1967-05-12,1,Matthew and Son,Cat Stevens
1967-05-19,1,Spicks and Specks,The Bee Gees
1967-05-26,1,Spicks and Specks,The Bee Gees
1967-06-02,1,"A Little Bit Me, a Little Bit You",The Monkees
1967-06-09,1,"A Little Bit Me, a Little Bit You",The Monkees
1967-06-16,1,"A Little Bit Me, a Little Bit You",The Monkees
1967-06-23,1,Opportunity,Mr. Lee Grant
1967-06-30,1,Puppet on a String,Sandie Shaw
1967-07-07,1,Puppet on a String,Sandie Shaw
1967-07-14,1,Puppet on a String,Sandie Shaw
1967-07-21,1,Silence is Golden,The Tremeloes
1967-07-28,1,Silence is Golden,The Tremeloes
1967-08-04,1,Silence is Golden,The Tremeloes
1967-08-11,1,A Whiter Shade of Pale,Procol Harum
1967-08-18,1,All You Need Is Love,The Beatles
1967-08-25,1,All You Need Is Love,The Beatles
1967-09-01,1,Thanks To You,Mr. Lee Grant
1967-09-08,1,Thanks To You,Mr. Lee Grant
1967-09-15,1,Thanks To You,Mr. Lee Grant
1967-09-22,1,San Francisco,Scott McKenzie
1967-09-29,1,San Francisco,Scott McKenzie
1967-10-06,1,San Francisco,Scott McKenzie
1967-10-13,1,San Francisco,Scott McKenzie
1967-10-20,1,San Francisco,Scott McKenzie
1967-10-27,1,Itchycoo Park,The Small Faces
1967-11-03,1,Itchycoo Park,The Small Faces
1967-11-10,1,The Last Waltz,Engelbert Humperdinck
1967-11-17,1,The Last Waltz,Engelbert Humperdinck
1967-11-24,1,Flowers in the Rain,The Move
1967-12-01,1,Massachusetts,The Bee Gees
1967-12-08,1,Massachusetts,The Bee Gees
1967-12-15,1,Massachusetts,The Bee Gees
1967-12-22,1,Snoopy's Christmas,The Royal Guardsmen
1967-12-29,1,Snoopy's Christmas,The Royal Guardsmen
1968-01-19,1,"Hello, Goodbye",The Beatles
1968-01-26,1,"Hello, Goodbye",The Beatles
1968-02-02,1,"Hello, Goodbye",The Beatles
1968-02-09,1,Daydream Believer,The Monkees
1968-02-16,1,Daydream Believer,The Monkees
1968-02-23,1,Daydream Believer,The Monkees
1968-03-01,1,Daydream Believer,The Monkees
1968-03-08,1,Thank U Very Much,The Scaffold
1968-03-15,1,"Bend Me, Shape Me",American Breed
1968-03-22,1,"Bend Me, Shape Me",American Breed
1968-03-29,1,Why Or Where Or When,Mr. Lee Grant
1968-04-05,1,Why Or Where Or When,Mr. Lee Grant
1968-04-12,1,Quinn the Eskimo,Manfred Mann
1968-04-19,1,Lady Madonna,The Beatles
1968-04-26,1,Lady Madonna,The Beatles
1968-05-03,1,The Legend of Xanadu,"Dave Dee, Dozy, Beaky, Mick & Tich"
1968-05-10,1,The Legend of Xanadu,"Dave Dee, Dozy, Beaky, Mick & Tich"
1968-05-17,1,The Legend of Xanadu,"Dave Dee, Dozy, Beaky, Mick & Tich"
1968-05-24,1,The Legend of Xanadu,"Dave Dee, Dozy, Beaky, Mick & Tich"
1968-05-31,1,Young Girl,Gary Puckett & the Union Gap
1968-06-07,1,Young Girl,Gary Puckett & the Union Gap
1968-06-14,1,Young Girl,Gary Puckett & the Union Gap
1968-06-21,1,Honey,Bobby Goldsboro
1968-06-28,1,Lazy Sunday,Small Faces
1968-07-05,1,Lazy Sunday,Small Faces
1968-07-12,1,Lazy Sunday,Small Faces
1968-07-19,1,"Spinning, Spinning, Spinning",Simple Image
1968-07-26,1,"Spinning, Spinning, Spinning",Simple Image
1968-08-02,1,Jumpin' Jack Flash,Rolling Stones
1968-08-09,1,Jumpin' Jack Flash,Rolling Stones
