date,rank,film
2012-12-16,1,Hotel Transylvania
2012-12-16,1,Rise of the Guardians
2012-12-16,1,The Hobbit: An Unexpected Journey
2012-12-16,1,One Piece Film: Z
2012-12-16,1,The Hobbit: An Unexpected Journey †
2012-12-19,1,The Hobbit: An Unexpected Journey
2012-12-19,1,Skyfall
2012-12-20,1,The Hobbit: An Unexpected Journey
2012-12-23,1,Life of Pi
2012-12-23,1,The Hobbit: An Unexpected Journey †
2012-12-23,1,One Piece Film: Z
2012-12-23,1,The Hobbit: An Unexpected Journey
2012-12-26,1,The Hobbit: An Unexpected Journey
2012-12-26,1,Skyfall
2012-12-27,1,The Hobbit: An Unexpected Journey
2012-12-30,1,Wreck-It Ralph
2012-12-30,1,One Piece Film: Z
2012-12-30,1,The Tower
2012-12-30,1,The Hobbit: An Unexpected Journey †
2012-12-30,1,Life of Pi
2012-12-30,1,The Hobbit: An Unexpected Journey
2012-12-31,1,Mission: Impossible – Ghost Protocol
2013-01-02,1,The Hobbit: An Unexpected Journey
2013-01-03,1,The Hobbit: An Unexpected Journey
2013-01-06,1,Texas Chainsaw 3D
2013-01-06,1,The Hobbit: An Unexpected Journey
2013-01-06,1,The Tower
2013-01-06,1,Life of Pi
2013-01-06,1,Crazy Crying Lady
2013-01-06,1,One Piece Film: Z
2013-01-06,1,Mai Stati Uniti
2013-01-06,1,Wreck-It Ralph
2013-01-09,1,The Hobbit: An Unexpected Journey
2013-01-10,1,CM101MMXI Fundamentals
2013-01-13,1,Playing for Keeps
2013-01-13,1,Gangster Squad
2013-01-13,1,The Hobbit: An Unexpected Journey
2013-01-13,1,Jack Reacher
2013-01-13,1,Zero Dark Thirty
2013-01-13,1,Break Up Man III
2013-01-13,1,Wreck-It Ralph
2013-01-13,1,Crazy Crying Lady
2013-01-13,1,Hunter × Hunter: Phantom Rouge
2013-01-13,1,Life of Pi
2013-01-13,1,God's Men
2013-01-16,1,Life of Pi
2013-01-17,1,CM101MMXI Fundamentals
2013-01-20,1,Life of Pi
2013-01-20,1,Sep
2013-01-20,1,Django Unchained †
2013-01-20,1,Ted
2013-01-20,1,God's Men
2013-01-20,1,Mama
2013-01-20,1,Les Misérables
2013-01-20,1,Django Unchained
2013-01-20,1,Wreck-It Ralph
2013-01-20,1,The Last Stand
2013-01-23,1,Life of Pi
2013-01-24,1,Celal ile Ceren
2013-01-27,1,Miracle in Cell No. 7 †
2013-01-27,1,Django Unchained †
2013-01-27,1,Hansel & Gretel: Witch Hunters
2013-01-27,1,Hansel and Gretel: Witch Hunters
2013-01-27,1,Ted
2013-01-27,1,Wreck-It Ralph
2013-01-27,1,The Impossible
2013-01-27,1,Django Unchained
2013-01-30,1,Django Unchained
2013-01-31,1,Celal ile Ceren
2013-02-03,1,Django Unchained
2013-02-03,1,Drogówka
2013-02-03,1,Chinese Zodiac
2013-02-03,1,Long Weekend
2013-02-03,1,Hansel & Gretel: Witch Hunters
2013-02-03,1,Warm Bodies
2013-02-03,1,Lincoln
2013-02-03,1,The Berlin File
2013-02-03,1,Wreck-It Ralph
2013-02-03,1,Django Unchained †
2013-02-03,1,Ted
2013-02-06,1,Django Unchained
2013-02-07,1,Hükümet Kadın
2013-02-10,1,Broken City
2013-02-10,1,Identity Thief
2013-02-10,1,Warm Bodies
2013-02-10,1,Ted
2013-02-10,1,Life of Pi
2013-02-10,1,Chinese Zodiac
2013-02-10,1,A Turtle's Tale 2: Sammy's Escape from Paradise
2013-02-10,1,Drogówka
2013-02-10,1,Jan Dara: The Finale
2013-02-10,1,Miracle in Cell No. 7 †
2013-02-10,1,Kokowääh 2
2013-02-10,1,Mama
2013-02-13,1,Hansel & Gretel: Witch Hunters
2013-02-14,1,Hükümet Kadın
2013-02-17,1,Drogówka
2013-02-17,1,Il principe abusivo
2013-02-17,1,Life of Pi
2013-02-17,1,Miracle in Cell No. 7 †
2013-02-17,1,A Good Day to Die Hard
2013-02-17,1,Mama
2013-02-20,1,Safe Haven
2013-02-21,1,Romantik Komedi 2: Bekarlığa Veda
2013-02-24,1,New World
2013-02-24,1,Il principe abusivo
2013-02-24,1,Flight
2013-02-24,1,Identity Thief
2013-02-24,1,Life of Pi
2013-02-24,1,Mama
2013-02-24,1,A Good Day to Die Hard
2013-02-24,1,Drogówka
2013-02-24,1,"Tad, The Lost Explorer"
2013-02-27,1,Silver Linings Playbook
2013-02-28,1,Kelebeğin Rüyası
2013-03-03,1,Jack the Giant Slayer
2013-03-03,1,Life of Pi
2013-03-03,1,Il principe abusivo
2013-03-03,1,Flight
2013-03-03,1,Syberiada Polska
2013-03-03,1,Hansel & Gretel: Witch Hunters
2013-03-03,1,Parker
2013-03-03,1,Hansel and Gretel: Witch Hunters
2013-03-03,1,"Tad, The Lost Explorer"
2013-03-03,1,New World
2013-03-03,1,A Good Day to Die Hard
2013-03-06,1,I Give It a Year
2013-03-07,1,Kelebeğin Rüyası
2013-03-10,1,New World
2013-03-10,1,Doraemon: Nobita no Himitsu Dōgu Museum
2013-03-10,1,Hansel & Gretel: Witch Hunters
2013-03-10,1,Oz the Great and Powerful
2013-03-13,1,Oz the Great and Powerful
2013-03-14,1,Kelebeğin Rüyası
2013-03-17,1,Warm Bodies
2013-03-17,1,Hansel & Gretel: Witch Hunters
2013-03-17,1,Jack the Giant Slayer
2013-03-17,1,Oz the Great and Powerful
2013-03-17,1,Doraemon: Nobita no Himitsu Dōgu Museum
2013-03-20,1,Oz the Great and Powerful
2013-03-21,1,Çanakkale: Yolun Sonu
2013-03-24,1,Wreck-It Ralph
2013-03-24,1,The Croods
2013-03-24,1,Oz the Great and Powerful
2013-03-24,1,Olympus Has Fallen
2013-03-24,1,Very Ordinary Couple
2013-03-27,1,A Good Day to Die Hard
2013-03-28,1,Çanakkale: Yolun Sonu
2013-03-30,1,It Takes a Man and a Woman*
2013-03-30,1,G.I. Joe: Retaliation
2013-03-31,1,Oz the Great and Powerful
2013-03-31,1,Pee Mak
2013-03-31,1,G.I. Joe: Retaliation
2013-03-31,1,Dragon Ball Z: Battle of Gods
2013-03-31,1,It Takes a Man and a Woman*
2013-03-31,1,The Croods
2013-04-03,1,The Croods
2013-04-04,1,Selam
2013-04-07,1,It Takes a Man and a Woman*
2013-04-07,1,Dragon Ball Z: Battle of Gods
2013-04-07,1,Jack the Giant Slayer
2013-04-07,1,Pee Mak
2013-04-07,1,Olympus Has Fallen
2013-04-07,1,Running Man
2013-04-07,1,Evil Dead
2013-04-07,1,The Croods
2013-04-10,1,The Croods
2013-04-11,1,Selam
2013-04-14,1,It Takes a Man and a Woman*
2013-04-14,1,Jack the Giant Slayer
2013-04-14,1,Pee Mak
2013-04-14,1,The Croods
2013-04-14,1,Dragon Ball Z: Battle of Gods
2013-04-14,1,42
2013-04-14,1,Oblivion
2013-04-14,1,Uklad Zamkniety
2013-04-17,1,Oblivion
2013-04-18,1,Selam
2013-04-21,1,Jack the Giant Slayer
2013-04-21,1,Mama
2013-04-21,1,Nosotros los Nobles
2013-04-21,1,Uklad Zamkniety
2013-04-21,1,It Takes a Man and a Woman*
2013-04-21,1,Oblivion
2013-04-21,1,Pee Mak
2013-04-21,1,Scary Movie 5
2013-04-21,1,Detective Conan: Private Eye in the Distant Sea
2013-04-24,1,The Croods
2013-04-24,1,Iron Man 3
2013-04-25,1,Selam
2013-04-28,1,Scary Movie 5
2013-04-28,1,Pain & Gain
2013-04-28,1,Pee Mak
2013-04-28,1,Detective Conan: Private Eye in the Distant Sea
2013-04-28,1,Uklad Zamkniety
2013-04-28,1,Iron Man 3
2013-04-28,1,Iron Man 3 †
2013-05-01,1,Iron Man 3 †
2013-05-02,1,Selam
2013-05-05,1,Iron Man 3 †
2013-05-05,1,The Croods
2013-05-05,1,Iron Man 3
2013-05-05,1,Detective Conan: Private Eye in the Distant Sea
2013-05-08,1,Iron Man 3 †
2013-05-09,1,Iron Man 3
2013-05-12,1,Iron Man 3
2013-05-12,1,Iron Man 3 †
2013-05-12,1,Detective Conan: Private Eye in the Distant Sea
2013-05-15,1,Star Trek Into Darkness
2013-05-16,1,Iron Man 3
2013-05-19,1,The Great Gatsby
2013-05-19,1,Iron Man 3
2013-05-19,1,The Complex
2013-05-19,1,Star Trek Into Darkness
2013-05-19,1,Epic
2013-05-22,1,Star Trek Into Darkness
2013-05-23,1,Iron Man 3
2013-05-24,1,Fast & Furious 6
2013-05-26,1,Fast & Furious 6
2013-05-26,1,Epic
2013-05-26,1,The Complex
2013-05-29,1,The Hangover Part III
2013-05-30,1,Fast & Furious 6
2013-06-02,1,Star Trek Into Darkness
2013-06-02,1,Epic
2013-06-02,1,Oblivion
2013-06-02,1,Fast & Furious 6
2013-06-02,1,The Hangover Part III
2013-06-05,1,The Great Gatsby
2013-06-06,1,Fast & Furious 6
2013-06-09,1,The Hangover Part III
2013-06-09,1,"Secretly, Greatly"
2013-06-09,1,The Purge
2013-06-09,1,G.I. Joe: Retaliation
2013-06-09,1,Epic
2013-06-09,1,After Earth
2013-06-12,1,Fast & Furious 6
2013-06-12,1,Man of Steel
2013-06-13,1,Fast & Furious 6
2013-06-16,1,Now You See Me
2013-06-16,1,Man of Steel
2013-06-16,1,The Hangover Part III
2013-06-16,1,Star Trek Into Darkness
2013-06-16,1,The Great Gatsby
2013-06-19,1,World War Z
2013-06-19,1,Fast & Furious 6
2013-06-20,1,Man of Steel
2013-06-23,1,World War Z
2013-06-23,1,Monsters University
2013-06-23,1,Man of Steel
2013-06-23,1,After Earth
2013-06-26,1,World War Z
2013-06-27,1,World War Z
2013-06-30,1,World War Z
2013-06-30,1,Midsummer's Equation
2013-06-30,1,Monsters University
2013-06-30,1,After Earth
2013-06-30,1,Now You See Me
2013-07-03,1,Man of Steel
2013-07-03,1,Despicable Me 2
2013-07-04,1,World War Z
2013-07-07,1,Monsters University
2013-07-07,1,Despicable Me 2
2013-07-07,1,Cold Eyes
2013-07-07,1,The Lone Ranger
2013-07-10,1,Despicable Me 2
2013-07-11,1,The Lone Ranger
2013-07-14,1,Pacific Rim
2013-07-14,1,Despicable Me 2
2013-07-14,1,The Lone Ranger
2013-07-14,1,Monsters University
2013-07-14,1,Now You See Me
2013-07-17,1,The Heat
2013-07-18,1,World War Z
2013-07-21,1,Monsters University
2013-07-21,1,Grown Ups 2
2013-07-21,1,Pacific Rim
2013-07-21,1,White House Down
2013-07-21,1,The Conjuring
2013-07-21,1,Red 2
2013-07-21,1,Now You See Me
2013-07-21,1,Despicable Me 2
2013-07-24,1,The Heat
2013-07-25,1,The Wolverine
2013-07-25,1,Pacific Rim
2013-07-28,1,The Wolverine
2013-07-28,1,Despicable Me 2
2013-07-28,1,The Wind Rises †
2013-07-28,1,Red 2
2013-07-31,1,The Wolverine
2013-08-01,1,The Wolverine
2013-08-04,1,The Wolverine
2013-08-04,1,The Wind Rises †
2013-08-04,1,The Smurfs 2
2013-08-04,1,2 Guns
2013-08-04,1,Red 2
2013-08-04,1,Monsters University
2013-08-04,1,Bakit Hindi Ka Crush Ng Crush Mo?*
2013-08-04,1,World War Z
2013-08-04,1,Snowpiercer
2013-08-07,1,The Wolverine
2013-08-08,1,The Smurfs 2
2013-08-11,1,The Smurfs 2
2013-08-11,1,Yam Yasothon 3
2013-08-11,1,Elysium
2013-08-11,1,The Conjuring
2013-08-11,1,Percy Jackson: Sea of Monsters
2013-08-11,1,The Wolverine
2013-08-11,1,Snowpiercer
2013-08-11,1,The Wind Rises †
2013-08-11,1,World War Z
2013-08-14,1,Now You See Me
2013-08-15,1,The Smurfs 2
2013-08-18,1,Grown Ups 2
2013-08-18,1,The Smurfs 2
2013-08-18,1,The Wind Rises †
2013-08-18,1,Turbo
2013-08-18,1,Elysium
2013-08-18,1,Hide and Seek
2013-08-18,1,The Butler
2013-08-18,1,Percy Jackson: Sea of Monsters
2013-08-18,1,Planes
2013-08-18,1,The Wolverine
2013-08-21,1,Elysium
2013-08-22,1,The Smurfs 2
2013-08-25,1,Monsters University
2013-08-25,1,Turbo
2013-08-25,1,The Wind Rises †
2013-08-25,1,The Conjuring
2013-08-25,1,Grown Ups 2
2013-08-25,1,Blue Jasmine
2013-08-25,1,The Lone Ranger
2013-08-25,1,The Butler
2013-08-25,1,The Smurfs 2
2013-08-25,1,The Mortal Instruments: City of Bones
2013-08-25,1,Hide and Seek
2013-08-28,1,Elysium
2013-08-29,1,Planes
2013-09-01,1,Elysium
2013-09-01,1,Epic
2013-09-01,1,The Wind Rises †
2013-09-01,1,One Direction: This Is Us
2013-09-01,1,White House Down
2013-09-01,1,The Wolverine
2013-09-01,1,The Mortal Instruments: City of Bones
2013-09-01,1,The Butler
2013-09-01,1,The Conjuring
2013-09-01,1,We're the Millers
2013-09-01,1,Planes
2013-09-04,1,RED 2
2013-09-05,1,Planes
2013-09-08,1,White House Down
2013-09-08,1,One Direction: This Is Us
2013-09-08,1,Riddick
2013-09-08,1,The Conjuring
2013-09-08,1,The Wind Rises †
2013-09-08,1,Planes
2013-09-08,1,Elysium
2013-09-08,1,The Spy: Undercover Operation
2013-09-08,1,We're the Millers
2013-09-11,1,White House Down
2013-09-12,1,Planes
2013-09-15,1,Insidious: Chapter 2
2013-09-15,1,Planes
2013-09-15,1,Ataru
2013-09-15,1,White House Down
2013-09-15,1,Percy Jackson & The Olympians: The Sea of Monsters
2013-09-15,1,We're the Millers
2013-09-15,1,Riddick
2013-09-15,1,The Internship
2013-09-15,1,The Face Reader
2013-09-15,1,Elysium
2013-09-18,1,The Smurfs 2
2013-09-19,1,Şeytan-ı Racim
2013-09-22,1,We're the Millers
2013-09-22,1,Justin and the Knights of Valour
2013-09-22,1,Elysium
2013-09-22,1,The Face Reader
2013-09-22,1,Insidious Chapter 2
2013-09-22,1,Planes
2013-09-22,1,Prisoners
2013-09-22,1,Paranoia
2013-09-22,1,In the Name Of
2013-09-22,1,No Se Aceptan Devoluciones
2013-09-22,1,The Smurfs 2
2013-09-22,1,Despicable Me 2
2013-09-25,1,Turbo
2013-09-26,1,Şeytan-ı Racim
2013-09-29,1,Cloudy with a Chance of Meatballs 2
2013-09-29,1,Insidious Chapter 2
2013-09-29,1,One Direction: This Is Us
2013-09-29,1,The Internship
2013-09-29,1,The Face Reader
2013-09-29,1,Runner Runner
2013-09-29,1,Turbo
2013-09-29,1,Las brujas de Zugarramurdi
2013-09-29,1,No Se Aceptan Devoluciones
2013-09-29,1,Dragon Ball Z: Battle of Gods
2013-09-29,1,The Smurfs 2
2013-09-29,1,Elysium
2013-09-29,1,"Like Father, Like Son"
2013-10-02,1,Grown Ups 2
2013-10-03,1,Runner Runner
2013-10-06,1,Hope
2013-10-06,1,Walesa: Man of Hope †
2013-10-06,1,No Se Aceptan Devoluciones
2013-10-06,1,Make Me Shudder
2013-10-06,1,"Like Father, Like Son"
2013-10-06,1,We're the Millers
2013-10-06,1,Gravity
2013-10-06,1,Rush
2013-10-06,1,The Conjuring
2013-10-08,1,Gravity
2013-10-09,1,Gravity
2013-10-10,1,Despicable Me 2
2013-10-13,1,Girl in the Sunny Place
2013-10-13,1,No Se Aceptan Devoluciones
2013-10-13,1,Despicable Me 2
2013-10-13,1,Gravity
2013-10-13,1,Rush
2013-10-13,1,Dragon Ball Z: Battle of Gods
2013-10-13,1,Hwayi: A Monster Boy
2013-10-16,1,Gravity
2013-10-17,1,Despicable Me 2
2013-10-20,1,Percy Jackson: Sea of Monsters
2013-10-20,1,She's the One*
2013-10-20,1,Despicable Me 2
2013-10-20,1,Escape Plan
2013-10-20,1,Turbo
2013-10-20,1,Gravity
2013-10-20,1,Rush
2013-10-20,1,Girl in the Sunny Place
2013-10-23,1,Gravity
2013-10-24,1,Despicable Me 2
2013-10-27,1,Cloudy with a Chance of Meatballs 2
2013-10-27,1,Despicable Me 2
2013-10-27,1,Jackass Presents: Bad Grandpa
2013-10-27,1,Puella Magi Madoka Magica the Movie: Rebellion
2013-10-27,1,Percy Jackson: Sea of Monsters
2013-10-27,1,Bad Grandpa
2013-10-27,1,Gravity
2013-10-27,1,She's the One*
2013-10-27,1,Escape Plan
2013-10-27,1,Insidious: Chapter 2
2013-10-27,1,Tom Yum Goong 2
2013-10-30,1,Thor: The Dark World
2013-10-30,1,Captain Phillips
2013-10-31,1,Benim Dünyam
2013-11-03,1,SPEC: Close
2013-11-03,1,Hashima Project
2013-11-03,1,Gravity
2013-11-03,1,Cloudy with a Chance of Meatballs 2
2013-11-03,1,Ender's Game
2013-11-03,1,Sole a catinelle †
2013-11-03,1,Thor: The Dark World
2013-11-06,1,Thor: The Dark World
2013-11-07,1,Benim Dünyam
2013-11-10,1,Sole a catinelle †
2013-11-10,1,The Kiyosu Conference
2013-11-10,1,Fack ju Göhte
2013-11-10,1,Thor: The Dark World
2013-11-13,1,Thor: The Dark World
2013-11-14,1,Hükümet Kadın 2
2013-11-17,1,Friend: The Great Legacy
2013-11-17,1,The Kiyosu Conference
2013-11-17,1,Thor: The Dark World
2013-11-17,1,Sole a catinelle †
2013-11-17,1,Blue Jasmine
2013-11-17,1,Fack ju Göhte
2013-11-20,1,Jackass Presents: Bad Grandpa
2013-11-21,1,The Hunger Games: Catching Fire
2013-11-21,1,Su ve Ateş
2013-11-24,1,The Hunger Games: Catching Fire
2013-11-24,1,Friend: The Great Legacy
2013-11-24,1,The Tale of the Princess Kaguya
2013-11-24,1,Thor: The Dark World
2013-11-27,1,The Hunger Games: Catching Fire
2013-11-28,1,The Hunger Games: Catching Fire
2013-12-01,1,The Hunger Games: Catching Fire
2013-12-01,1,The Tale of the Princess Kaguya
2013-12-01,1,Frozen
2013-12-01,1,11 A.M.
2013-12-01,1,Thor: The Dark World
2013-12-04,1,The Hunger Games: Catching Fire
2013-12-05,1,The Hunger Games: Catching Fire
2013-12-08,1,Lupin III vs. Conan
2013-12-08,1,The Hunger Games: Catching Fire
2013-12-08,1,Frozen
2013-12-08,1,Thor: The Dark World
2013-12-08,1,Homefront
2013-12-08,1,About Time
2013-12-11,1,The Hunger Games: Catching Fire
2013-12-12,1,Düğün Dernek †
2013-12-15,1,Frozen
2013-12-15,1,Lupin III vs. Conan
2013-12-15,1,The Hobbit: The Desolation of Smaug †
2013-12-15,1,The Hobbit: The Desolation of Smaug
2013-12-15,1,Cloudy with a Chance of Meatballs 2
2013-12-15,1,Saving Santa
2013-12-18,1,The Hunger Games: Catching Fire
2013-12-19,1,Düğün Dernek †
2013-12-22,1,The Hobbit: The Desolation of Smaug †
2013-12-22,1,Lupin III vs. Conan
2013-12-22,1,The Attorney
2013-12-22,1,Frozen
2013-12-22,1,The Hobbit: The Desolation of Smaug
2013-12-25,1,Anchorman 2: The Legend Continues
2013-12-26,1,Düğün Dernek †
2013-12-29,1,The Eternal Zero
2013-12-29,1,Walking with Dinosaurs
2013-12-29,1,The Hobbit: The Desolation of Smaug †
2013-12-29,1,47 Ronin
2013-12-29,1,The Hobbit: The Desolation of Smaug
2013-12-29,1,The Attorney
2013-12-29,1,Frozen
2014-01-01,1,The Hobbit: The Desolation of Smaug
2014-01-02,1,Düğün Dernek †
2014-01-05,1,Frozen
2014-01-05,1,The Hobbit: The Desolation of Smaug
2014-01-05,1,The Attorney
2014-01-05,1,The Eternal Zero
2014-01-05,1,47 Ronin
2014-01-08,1,The Hobbit: The Desolation of Smaug
2014-01-09,1,Düğün Dernek
2014-01-12,1,The Wolf of Wall Street
2014-01-12,1,47 Ronin
2014-01-12,1,The Attorney
2014-01-12,1,The Physician
2014-01-12,1,Cloudy with a Chance of Meatballs 2
2014-01-12,1,Frozen
2014-01-12,1,The Eternal Zero
2014-01-12,1,Lone Survivor
2014-01-12,1,The Book Thief
2014-01-15,1,Frozen
2014-01-15,1,Bride for Rent*
2014-01-16,1,Düğün Dernek
2014-01-19,1,¿Qué le Dijiste a Dios?
2014-01-19,1,Jack Ryan: Shadow Recruit
2014-01-19,1,Frozen
2014-01-19,1,The Wolf of Wall Street
2014-01-19,1,The Eternal Zero
2014-01-19,1,47 Ronin
2014-01-19,1,Ride Along
2014-01-22,1,Frozen
2014-01-23,1,Düğün Dernek
2014-01-26,1,The Wolf of Wall Street
2014-01-26,1,Frozen
2014-01-26,1,Ride Along
2014-01-26,1,The Eternal Zero
2014-01-26,1,"I, Frankenstein"
2014-01-29,1,The Wolf of Wall Street
2014-01-30,1,Düğün Dernek
2014-02-02,1,The Eternal Zero
2014-02-02,1,Frozen
2014-02-02,1,The Wolf of Wall Street
2014-02-02,1,The Legend of Hercules
2014-02-02,1,American Hustle
2014-02-02,1,Walking with Dinosaurs
2014-02-02,1,Ride Along
2014-02-02,1,"I, Frankenstein"
2014-02-02,1,47 Ronin
2014-02-05,1,The Wolf of Wall Street
2014-02-06,1,Eyyvah Eyvah 3
2014-02-09,1,The Eternal Zero
2014-02-09,1,The Lego Movie
2014-02-09,1,Frozen
2014-02-09,1,RoboCop
2014-02-09,1,Joy of Fatherhood
2014-02-09,1,"Papita, maní, tostón"
2014-02-09,1,The Legend of Hercules
2014-02-12,1,Starting Over Again*
2014-02-12,1,The Wolf of Wall Street
2014-02-13,1,Eyyvah Eyvah 3
2014-02-16,1,Frozen
2014-02-16,1,The Mole Song: Undercover Agent Reiji
2014-02-16,1,Winter's Tale
2014-02-16,1,The Lego Movie
2014-02-16,1,Cásese Quien Pueda
2014-02-16,1,"Papita, maní, tostón"
2014-02-16,1,Joy of Fatherhood
2014-02-16,1,RoboCop
2014-02-16,1,Starting Over Again*
2014-02-19,1,The Wolf of Wall Street
2014-02-20,1,Eyyvah Eyvah 3
2014-02-23,1,"Papita, maní, tostón"
2014-02-23,1,The Monuments Men
2014-02-23,1,Pompeii
2014-02-23,1,Starting Over Again*
2014-02-23,1,The Lego Movie
2014-02-23,1,The Mole Song: Undercover Agent Reiji
2014-02-23,1,Cásese Quien Pueda
2014-02-23,1,RoboCop
2014-02-23,1,Joy of Fatherhood
2014-02-26,1,Wolf Creek 2
2014-02-27,1,Recep İvedik 4 †
2014-03-02,1,"Papita, maní, tostón"
2014-03-02,1,The Monkey King 3D
2014-03-02,1,The Hobbit: The Desolation of Smaug
2014-03-02,1,The Monuments Men
2014-03-02,1,Non-Stop
2014-03-02,1,Starting Over Again*
2014-03-02,1,Pompeii
2014-03-02,1,Mr. Peabody & Sherman
2014-03-05,1,Non-Stop
2014-03-06,1,Recep İvedik 4 †
2014-03-09,1,300: Rise of an Empire
2014-03-09,1,The Hobbit: The Desolation of Smaug
2014-03-12,1,300: Rise of an Empire
2014-03-13,1,Recep İvedik 4 †
2014-03-16,1,Frozen †
2014-03-16,1,300: Rise of an Empire
2014-03-16,1,Ocho apellidos vascos †
2014-03-16,1,Thread of Lies
2014-03-16,1,Non-Stop
2014-03-16,1,Mr. Peabody & Sherman
2014-03-19,1,The Monuments Men
2014-03-20,1,Recep İvedik 4 †
2014-03-23,1,Divergent
2014-03-23,1,Noah
2014-03-23,1,Frozen †
2014-03-23,1,Need for Speed
2014-03-23,1,The Teacher's Diary
2014-03-23,1,The Lego Movie
2014-03-23,1,300: Rise of an Empire
2014-03-23,1,Ocho apellidos vascos †
2014-03-26,1,Captain America: The Winter Soldier
2014-03-26,1,The Monuments Men
2014-03-27,1,Recep İvedik 4 †
2014-03-30,1,Frozen †
2014-03-30,1,Noah
2014-03-30,1,The Teacher's Diary
2014-03-30,1,Captain America: The Winter Soldier
2014-03-30,1,Ocho apellidos vascos †
2014-04-02,1,Noah
2014-04-03,1,Recep İvedik 4 †
2014-04-06,1,Frozen †
2014-04-06,1,Rio 2
2014-04-06,1,Captain America: The Winter Soldier
2014-04-06,1,Ocho apellidos vascos †
2014-04-09,1,The Lego Movie
2014-04-10,1,Noah
2014-04-13,1,Ocho apellidos vascos †
2014-04-13,1,Captain America: The Winter Soldier
2014-04-13,1,Frozen †
2014-04-13,1,Rio 2
2014-04-13,1,Noah
2014-04-16,1,The Lego Movie
2014-04-17,1,Noah
2014-04-20,1,Transcendence
2014-04-20,1,The Amazing Spider-Man 2
2014-04-20,1,Captain America: The Winter Soldier
2014-04-20,1,Frozen †
2014-04-20,1,Ocho apellidos vascos †
2014-04-20,1,The Amazing Spider-Man 2: Rise of Electro
2014-04-20,1,Rio 2
2014-04-23,1,The Amazing Spider-Man 2
2014-04-24,1,Noah
2014-04-27,1,Rio 2
2014-04-27,1,The Amazing Spider-Man 2: Rise of Electro
2014-04-27,1,Brick Mansions
2014-04-27,1,Transcendence
2014-04-27,1,Ocho apellidos vascos †
2014-04-27,1,Frozen †
2014-04-27,1,The Amazing Spider-Man 2
2014-04-27,1,The Other Woman
2014-04-30,1,The Amazing Spider-Man 2
2014-04-30,1,The Other Woman
2014-05-01,1,The Amazing Spider-Man 2
2014-05-04,1,The Fatal Encounter
2014-05-04,1,Ocho apellidos vascos †
2014-05-04,1,The Amazing Spider-Man 2
2014-05-04,1,Rio 2
2014-05-04,1,Frozen †
2014-05-04,1,The Other Woman
2014-05-04,1,The Amazing Spider-Man 2 †
2014-05-04,1,The Amazing Spider-Man 2: Rise of Electro
2014-05-07,1,The Other Woman
2014-05-08,1,The Amazing Spider-Man 2
2014-05-11,1,Frozen †
2014-05-11,1,The Fatal Encounter
2014-05-11,1,Rio 2
2014-05-11,1,The Amazing Spider-Man 2
2014-05-11,1,Ocho apellidos vascos †
2014-05-11,1,Neighbors
2014-05-11,1,The Amazing Spider-Man 2 †
2014-05-11,1,Non-Stop
2014-05-14,1,Bad Neighbours
2014-05-15,1,The Amazing Spider-Man 2
2014-05-18,1,Frozen †
2014-05-18,1,Rio 2
2014-05-18,1,Godzilla
2014-05-19,1,Godzilla
2014-05-21,1,Godzilla
2014-05-21,1,X-Men: Days of Future Past
2014-05-22,1,Godzilla
2014-05-25,1,Godzilla
2014-05-25,1,X-Men: Days of Future Past
2014-05-25,1,Frozen †
2014-05-25,1,Rio 2
2014-05-28,1,X-Men: Days of Future Past
2014-05-28,1,Maleficent
2014-05-29,1,X-Men: Days of Future Past
2014-06-01,1,Frozen †
2014-06-01,1,Maleficent
2014-06-01,1,Maleficent †
2014-06-01,1,The Legend of King Naresuan 5
2014-06-01,1,X-Men: Days of Future Past
2014-06-04,1,X-Men: Days of Future Past
2014-06-05,1,X-Men: Days of Future Past
2014-06-08,1,Maleficent
2014-06-08,1,Maleficent †
2014-06-08,1,X-Men: Days of Future Past
2014-06-08,1,The Legend of King Naresuan 5
2014-06-08,1,The Fault in Our Stars
2014-06-08,1,Edge of Tomorrow
2014-06-08,1,Frozen †
2014-06-11,1,The Fault in Our Stars
2014-06-12,1,Edge of Tomorrow
2014-06-15,1,Maleficent †
2014-06-15,1,How to Train Your Dragon 2
2014-06-15,1,Frozen †
2014-06-15,1,Edge of Tomorrow
2014-06-15,1,The Fault in Our Stars
2014-06-15,1,Maleficent
2014-06-15,1,22 Jump Street
2014-06-18,1,The Fault in Our Stars
2014-06-19,1,Edge of Tomorrow
2014-06-22,1,How to Train Your Dragon 2
2014-06-22,1,The Pirate Fairy
2014-06-22,1,Maleficent
2014-06-22,1,Think Like a Man Too
2014-06-22,1,X-Men: Days of Future Past
2014-06-22,1,Frozen †
2014-06-22,1,Edge of Tomorrow
2014-06-25,1,22 Jump Street
2014-06-25,1,Transformers: Age of Extinction
2014-06-26,1,How to Train Your Dragon 2
2014-06-29,1,X-Men: Days of Future Past
2014-06-29,1,Transformers: Age of Extinction
2014-06-29,1,The Pirate Fairy
2014-06-29,1,The Fault in Our Stars
2014-06-29,1,How to Train Your Dragon 2
2014-06-29,1,Walk of Shame
2014-06-29,1,Frozen †
2014-07-02,1,Transformers: Age of Extinction
2014-07-03,1,Transformers: Age of Extinction
2014-07-06,1,The Fault in Our Stars
2014-07-06,1,X-Men: Days of Future Past
2014-07-06,1,Tammy
2014-07-06,1,Transformers: Age of Extinction
2014-07-06,1,Maleficent
