date,rank,film
1951-04-11,1,Royal Wedding
1951-04-18,1,Father's Little Dividend
1951-04-25,1,Father's Little Dividend
1951-05-02,1,Father's Little Dividend
1951-05-09,1,Father's Little Dividend
1951-05-16,1,The Great Caruso
1951-05-23,1,The Great Caruso
1951-05-30,1,The Great Caruso
1951-06-06,1,The Great Caruso
1951-06-13,1,The Great Caruso
1951-06-20,1,The Great Caruso
1951-06-27,1,The Great Caruso
1951-07-04,1,The Great Caruso
1951-07-11,1,The Great Caruso
1951-07-18,1,Show Boat
1951-07-25,1,Show Boat
1951-08-01,1,Show Boat
1951-08-08,1,Show Boat
1951-08-15,1,That's My Boy
1951-08-22,1,That's My Boy
1951-08-29,1,That's My Boy
1951-09-05,1,That's My Boy
1951-09-12,1,David and Bathsheba †
1951-09-19,1,David and Bathsheba †
1951-09-26,1,David and Bathsheba †
1951-10-03,1,David and Bathsheba †
1951-10-10,1,David and Bathsheba †
1951-10-17,1,A Place in the Sun
1951-10-24,1,The Desert Fox: The Story of Rommel
1951-10-31,1,An American in Paris
1951-11-07,1,An American in Paris
1951-11-14,1,An American in Paris
1951-11-21,1,An American in Paris
1951-11-28,1,Quo Vadis
1951-12-05,1,Quo Vadis
1951-12-12,1,Quo Vadis
1951-12-19,1,Quo Vadis
1951-12-26,1,Quo Vadis
1952-01-02,1,Quo Vadis
1952-01-09,1,I'll See You in My Dreams
1952-01-16,1,Quo Vadis
1952-01-23,1,Quo Vadis
1952-01-30,1,Quo Vadis
1952-02-06,1,Quo Vadis
1952-02-13,1,Sailor Beware
1952-02-20,1,Quo Vadis
1952-02-27,1,The Greatest Show on Earth †
1952-03-05,1,The Greatest Show on Earth †
1952-03-12,1,The Greatest Show on Earth †
1952-03-19,1,The Greatest Show on Earth †
1952-03-26,1,The Greatest Show on Earth †
1952-04-02,1,The Greatest Show on Earth †
1952-04-09,1,The Battle at Apache Pass
1952-04-16,1,Singin' in the Rain
1952-04-23,1,Singin' in the Rain With a Song in My Heart
1952-04-30,1,Singin' in the Rain
1952-05-07,1,The African Queen
1952-05-14,1,Belles on Their Toes
1952-05-21,1,Red Ball Express
1952-05-28,1,Skirts Ahoy!
1952-06-04,1,Skirts Ahoy!
1952-06-11,1,Skirts Ahoy!
1952-06-18,1,About Face
1952-06-25,1,Pat and Mike
1952-07-02,1,Scaramouche
1952-07-09,1,The Story of Robin Hood
1952-07-16,1,Lovely to Look At
1952-07-23,1,Jumping Jacks
1952-07-30,1,Jumping Jacks
1952-08-06,1,Jumping Jacks
1952-08-13,1,High Noon
1952-08-20,1,Affair in Trinidad
1952-08-27,1,The World in His Arms
1952-09-03,1,What Price Glory
